duration_ms_x,popularity,track_number,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,popularity_class
199742,63,1,0.326,0.703,0.5489999999999999,0.00256,0,0.08199999999999999,-9.731,1,0.0295,99.985,0.385,1
229008,4,1,0.14400000000000002,0.486,0.8759999999999999,0.011,0,0.11,-4.289,1,0.0386,163.997,0.311,0
146093,49,1,0.165,0.394,0.59,2.77E-06,0,0.0742,-7.154,1,0.0559,176.981,0.6890000000000001,0
192893,60,1,0.54,0.721,0.507,3.94E-06,9,0.114,-7.439,1,0.028,116.05,0.43,1
177373,5,1,0.084,0.423,0.969,0.00305,0,0.344,-4.633,1,0.0539,97.412,0.86,0
232133,68,11,0.58,0.621,0.403,0,9,0.114,-8.211,1,0.0359,145.525,0.634,1
160097,61,1,0.613,0.664,0.573,0.000363,5,0.0857,-6.519,1,0.0277,76.023,0.5660000000000001,1
207519,61,2,0.183,0.428,0.7240000000000001,0.000136,11,0.251,-7.2639999999999985,0,0.0434,146.917,0.184,1
253732,62,1,0.00194,0.618,0.732,0.0525,7,0.0811,-5.565,1,0.0395,135.076,0.7879999999999999,1
267520,75,1,0.7070000000000001,0.551,0.219,0.000691,5,0.118,-11.196,1,0.0285,80.97800000000002,0.191,1
219660,56,1,0.0257,0.599,0.945,0.000207,2,0.0775,-3.751,1,0.0408,129.002,0.732,1
300683,79,7,0.8390000000000001,0.292,0.334,0.345,6,0.151,-10.679,0,0.0378,67.836,0.14800000000000002,1
245840,61,1,0.722,0.482,0.267,0.02,7,0.125,-11.638,1,0.0262,140.61700000000002,0.34700000000000003,1
264013,63,5,0.00383,0.5710000000000001,0.8740000000000001,0.0282,4,0.0621,-5.2,1,0.0273,127.046,0.742,1
264213,71,2,0.0417,0.452,0.8340000000000001,0.00036,11,0.119,-4.657,1,0.0967,142.088,0.514,1
212160,58,1,9.52E-06,0.4,0.7390000000000001,0.443,2,0.117,-6.763,1,0.0309,76.977,0.531,1
260519,68,5,0.172,0.742,0.546,0.38,1,0.115,-7.694,1,0.0315,104.996,0.868,1
309072,53,1,0.604,0.618,0.5579999999999999,0.395,5,0.124,-8.184,1,0.0251,111.709,0.336,0
197888,58,1,0.0583,0.623,0.642,0.0148,1,0.28800000000000003,-6.199,0,0.0308,171.02700000000004,0.584,1
223972,57,1,0.604,0.508,0.494,0.008759999999999999,9,0.12,-8.19,1,0.0407,110.913,0.233,1
214885,59,1,0.201,0.65,0.481,0.901,0,0.111,-9.582,1,0.0283,83.976,0.166,1
183984,53,6,0.55,0.564,0.43,0,2,0.0953,-5.784,1,0.0252,96.059,0.2,0
218493,70,1,5.12E-05,0.6,0.821,0.77,1,0.519,-7.956,0,0.0266,117.013,0.287,1
252987,62,1,0.112,0.5589999999999999,0.521,0.0243,0,0.0686,-9.161,1,0.0279,179.991,0.677,1
209746,55,1,0.73,0.736,0.618,0.000216,8,0.0907,-5.1720000000000015,1,0.0588,120.004,0.44,0
249333,63,1,0.188,0.643,0.773,0.000412,1,0.0986,-7.997999999999998,1,0.0414,124.538,0.653,1
292631,54,1,0.0247,0.7120000000000001,0.7759999999999999,0.415,7,0.0643,-5.604,1,0.0489,114.008,0.575,0
274293,78,1,0.0476,0.598,0.71,1.77E-05,0,0.1,-6.839,0,0.0272,97.976,0.726,1
206413,65,4,0.15,0.619,0.464,0.88,9,0.0791,-9.82,1,0.028,79.033,0.58,1
